Rollno	Branch	Quiz1	Quiz2	Midsem	Lab	Endsem
r28876049	WW	51	72	42	92	44
r02398686	YY	9	87	2	26	38
r98816804	WW	58	14	14	62	39
r45547057	XX	46	64	83	55	3
r32830866	XX	49	37	21	59	3
r12357026	YY	70	97	93	17	61
r47689639	VV	86	9	57	35	46
r52766324	WW	23	6	60	94	3
r37494293	YY	18	42	4	5	4
r22474161	ZZ	26	48	27	50	54
r69516022	WW	32	52	57	3	46
r00723107	XX	84	48	10	11	48
r34713442	ZZ	54	26	54	39	78
r25727440	VV	75	46	90	60	94
r32086992	VV	93	25	54	48	51
r72499236	ZZ	6	37	67	34	36
r60995173	ZZ	70	58	85	64	83
r46238627	YY	30	67	66	37	4
r12475580	ZZ	7	47	73	77	57
r32078207	XX	31	44	26	61	11
r88710107	YY	79	80	87	86	79
r36498469	ZZ	29	27	58	60	71
r35943855	XX	82	88	3	61	68
r70526117	ZZ	58	38	76	87	17
r90027162	YY	10	94	98	92	82
r32724541	YY	86	38	60	44	28
r35247475	XX	96	55	47	6	49
r03238052	VV	5	21	35	91	11
r89336786	VV	2	65	91	50	20
r82887015	VV	40	68	40	97	41
r13394823	VV	16	10	59	70	27
r20004081	ZZ	71	99	79	63	19
r12647932	ZZ	28	87	95	96	50
r69689685	YY	29	8	87	0	7
r58780528	ZZ	5	17	22	85	57
r17396998	XX	27	7	73	56	15
r84064966	YY	55	39	6	12	8
r75702291	WW	3	18	31	83	77
r14920186	ZZ	23	84	72	30	75
r44919934	WW	81	2	35	37	72
r01415357	XX	47	43	93	22	80
r47681893	ZZ	17	62	67	50	16
r70291638	VV	42	38	5	89	82
r34771655	VV	24	6	58	41	20
r18918109	WW	97	13	59	91	52
r26650543	WW	1	79	38	77	37
r87325435	VV	7	35	46	5	49
r83319961	VV	77	91	64	30	22
r80169705	ZZ	81	33	92	89	69
r60643054	WW	61	4	5	38	95
r99679059	YY	57	96	66	38	81
r92954627	YY	16	47	61	77	51
r68078669	WW	96	21	48	5	69
r61755630	YY	72	25	29	88	72
r86166134	WW	70	89	96	18	62
r42305072	ZZ	18	0	22	43	25
r30718874	XX	62	62	51	32	51
r26360887	ZZ	50	98	29	69	98
r26878598	VV	63	36	64	77	51
r94420000	ZZ	68	41	7	71	39
r09347317	XX	8	52	55	23	41
r12926469	ZZ	16	69	89	84	10
r51072332	ZZ	88	7	11	96	11
r12146073	YY	36	65	62	52	34
r96467462	XX	29	99	56	17	58
r52674711	VV	8	0	66	96	66
r90587046	WW	86	30	90	16	82
r52414201	VV	30	53	64	90	54
r62272751	VV	89	60	20	76	42
r24999503	YY	27	20	24	9	74
r90082256	VV	82	51	98	71	63
r77214113	YY	16	53	38	96	26
r52372656	XX	58	20	12	92	23
r48238572	VV	58	28	37	27	33
r39081655	WW	72	32	31	82	5
r58899347	YY	60	61	1	70	41
r75306618	ZZ	2	38	45	74	23
r68518529	XX	30	77	46	90	90
r32707133	ZZ	7	36	43	9	26
r59817538	WW	30	97	17	13	74
r55589396	XX	56	14	1	15	50
r66816825	WW	3	77	93	85	75
r81768247	XX	47	53	23	3	67
r89646454	VV	72	60	79	27	37
r44656514	XX	9	95	52	57	1
r00610258	WW	46	83	12	70	43
r92667413	WW	71	54	99	81	1
r02125735	XX	70	11	5	68	46
r19023980	XX	33	91	85	57	97
r09803148	VV	59	20	45	81	83
r19920073	YY	9	47	66	94	39
r38037151	XX	52	12	21	63	32
r45964904	VV	21	27	9	30	75
r66104152	WW	4	3	35	57	15
r27574538	YY	86	53	24	7	81
r98174298	XX	15	75	22	72	30
r15632108	XX	38	85	16	24	39
r32722826	ZZ	82	91	86	50	18
r28855489	VV	78	79	47	16	64
r35769511	WW	75	95	69	10	86
r27767513	VV	72	49	92	50	80
r87514504	XX	0	93	47	27	88
r74313071	YY	77	28	96	1	30
r30029654	XX	3	77	0	55	70
r28425738	XX	79	61	61	9	89
r09662881	XX	66	25	57	69	3
r45574919	WW	59	4	89	90	65
r17828680	WW	85	68	54	51	45
r10956642	VV	95	35	31	6	40
r97306245	YY	90	42	7	75	62
r90700678	WW	24	54	0	71	89
r81491797	ZZ	11	94	54	2	88
r93983605	ZZ	54	10	14	78	64
r03807498	ZZ	33	38	37	45	84
r93888791	XX	46	49	18	0	59
r93999796	YY	3	20	46	36	58
r35720738	ZZ	27	2	91	73	3
r53248359	YY	42	46	87	45	66
r17952892	WW	38	12	40	65	14
r00253623	XX	79	57	95	21	4
r82829991	VV	89	18	15	27	83
r49849324	YY	69	74	28	49	83
r29732553	XX	66	64	37	56	34
r37007066	WW	33	68	91	3	94
r48687519	XX	33	68	93	99	84
r59418417	XX	97	89	94	30	58
r54092800	WW	13	91	31	46	12
r66837546	ZZ	91	67	63	88	9
r99863886	WW	16	18	58	82	61
r83860807	ZZ	73	76	45	65	96
r35044937	YY	27	31	5	96	49
r80786558	YY	3	65	47	29	41
r47494468	YY	45	9	18	25	92
r11913691	XX	23	94	49	78	11
r93032659	XX	72	33	7	18	94
r36369272	VV	40	28	74	15	23
r54259404	XX	10	15	23	35	0
r34062321	VV	57	31	94	49	59
r64511062	WW	86	77	46	49	44
r45671654	WW	81	49	87	90	80
r11376187	VV	73	87	11	59	64
r80147739	XX	55	18	25	88	67
r89691189	ZZ	4	97	68	77	84
r90990348	WW	12	27	19	20	46
r85097608	XX	10	89	29	14	38
r24814806	XX	43	76	56	55	4
r72569676	YY	94	87	44	4	76
r96230166	WW	21	78	5	64	55
r11193672	VV	4	14	21	99	1
r50166597	YY	16	37	3	89	16
r53276581	WW	83	15	83	88	29
r92242519	WW	82	62	46	51	0
r08263659	VV	3	3	80	86	18
r69251604	YY	63	81	55	45	43
r65493858	XX	56	10	87	59	65
r63324785	ZZ	53	50	9	16	83
r18904499	VV	44	34	48	1	96
r01586010	ZZ	97	21	97	50	23
r86514510	VV	69	40	0	65	26
r64577273	YY	32	68	65	29	41
r14290917	XX	94	22	17	15	15
r13778565	WW	47	64	91	32	84
r18152545	ZZ	95	27	72	89	2
r57960850	XX	85	64	86	85	80
r74502957	WW	54	22	2	1	49
r11780663	WW	7	71	13	92	87
r97062676	XX	27	4	63	81	26
r58381164	XX	89	12	87	96	35
r15402474	WW	2	46	53	29	50
r39687968	WW	40	54	92	30	18
r85490023	XX	76	59	49	31	57
r09158735	VV	38	1	86	31	55
r33219839	ZZ	90	5	82	66	16
r73604953	YY	18	11	70	57	12
r88913344	YY	51	59	84	93	64
r92297192	XX	2	56	15	21	67
r02682515	WW	90	67	70	41	27
r63656965	ZZ	72	77	27	74	86
r73277079	ZZ	15	70	87	5	38
r87542110	VV	22	40	26	46	17
r15089488	XX	14	45	88	81	16
r86685347	ZZ	46	57	28	69	97
r77182193	XX	47	7	82	13	4
r40148723	WW	92	96	41	38	54
r91770873	VV	2	28	28	49	35
r52494563	WW	74	18	48	66	15
r71284155	YY	80	15	40	82	43
r31183709	WW	53	6	82	27	24
r61434739	WW	28	71	36	60	86
r21684969	WW	47	36	79	52	94
r19472927	ZZ	8	56	68	88	27
r95236031	ZZ	60	50	50	59	38
r13344948	VV	60	56	97	68	64
r93980139	ZZ	34	27	22	46	29
r59484920	WW	40	86	79	1	95
r91207307	VV	17	94	78	51	73
r72523128	XX	80	36	38	20	23
r10633050	YY	3	66	60	20	12
r35909642	WW	47	96	90	27	85
r90030685	YY	36	93	56	92	11
r43888989	ZZ	65	35	64	12	83
r18738860	ZZ	34	36	26	23	81
r53296077	VV	62	28	76	27	63
r08717445	ZZ	24	42	58	59	30
r42897203	WW	84	0	2	46	80
r45363270	WW	57	24	8	81	18
r29263270	VV	44	60	95	28	60
r70137490	YY	27	68	93	36	44
r93144329	YY	45	20	51	41	80
r12884911	WW	86	72	3	65	41
r35940284	WW	45	81	93	42	53
r35577351	XX	25	59	84	63	31
r84630770	XX	10	96	27	7	29
r24979448	VV	7	52	61	32	11
r54459089	YY	58	68	91	20	64
r75199270	ZZ	76	61	98	83	65
r86453032	WW	61	3	23	19	71
r97582883	YY	40	67	13	68	80
r36214897	ZZ	19	82	39	32	37
r19126821	VV	98	12	44	90	79
r82530854	YY	78	76	82	49	10
r17046383	XX	91	91	86	41	3
r15417047	VV	70	91	93	48	19
r89197365	WW	66	94	90	57	85
r09936363	VV	73	32	32	43	24
r43345654	VV	99	41	39	65	36
r41842998	VV	73	35	13	98	67
r43307844	XX	34	9	18	85	51
r27960823	VV	19	61	61	92	48
r35299798	XX	75	15	62	61	24
r67986167	YY	31	80	50	50	93
r51009598	VV	62	10	18	90	25
r11281387	WW	86	27	74	17	7
r01254253	WW	49	36	23	12	98
r25358739	YY	91	54	57	77	81
r70073240	XX	86	91	43	36	27
r05042490	ZZ	71	15	90	14	21
r44214200	VV	46	44	80	85	35
r34231573	VV	89	38	23	60	53
r76410725	XX	41	72	67	40	68
r53289730	YY	72	2	55	13	40
r56622033	XX	7	37	80	1	61
r19664063	VV	89	39	65	13	41
r61149762	ZZ	7	32	57	67	69
r81690477	YY	54	43	50	44	82
r73866106	XX	38	96	40	98	28
r50831643	YY	60	21	90	66	64
r08101189	XX	93	48	65	31	96
r97667410	ZZ	70	25	53	30	98
r94912015	XX	3	39	15	96	39
r06213882	VV	93	91	52	15	17
r87174086	WW	92	42	84	96	33
r43549764	YY	26	46	66	71	89
r68366730	XX	67	94	58	12	36
r89522193	VV	58	67	77	36	65
r74363929	ZZ	66	18	51	85	12
r90479924	ZZ	30	91	19	41	10
r75479052	ZZ	99	69	33	17	87
r41641033	WW	51	75	37	34	18
r58543215	YY	12	76	27	11	98
r05769500	XX	45	56	13	97	83
r12982628	XX	18	4	23	30	32
r32558547	VV	60	6	49	6	62
r56780662	YY	45	10	20	15	66
r81633111	XX	78	85	10	39	91
r74720420	VV	73	90	34	70	0
r57038691	XX	10	0	5	88	85
r96962884	WW	3	22	86	28	12
r83650818	WW	75	50	1	37	50
r77675538	ZZ	16	14	32	19	36
r99292044	VV	98	55	44	25	57
r27426092	ZZ	87	34	60	3	48
r47538722	XX	27	59	46	26	14
r14763380	ZZ	73	59	92	13	93
r64811669	ZZ	23	91	73	3	50
r16340004	YY	96	60	54	21	19
r45219242	WW	18	10	63	94	53
r73780022	XX	72	65	36	68	25
r27062493	VV	97	25	67	67	88
r11805507	WW	97	3	29	69	20
r07826100	VV	95	40	33	44	17
r25257064	VV	77	76	61	74	31
r43861989	VV	70	78	60	65	70
r08625092	ZZ	81	87	88	10	16
r57213276	VV	21	37	55	91	15
r78178913	WW	39	92	68	72	80
r56805218	XX	54	20	54	76	57
r72762050	ZZ	1	88	16	93	81
r51207224	ZZ	4	25	3	59	45
r72147131	VV	43	78	82	45	67
r88451880	ZZ	81	80	74	37	6
r63958205	VV	15	25	26	59	3
r42020673	YY	27	5	53	8	38
r56949897	YY	63	71	94	78	96
r92334677	ZZ	44	37	80	71	94
r92478330	ZZ	24	4	89	87	76
r74776223	VV	90	40	0	35	77
r61686076	YY	56	90	68	80	94
r92487355	VV	97	0	78	88	92
r39312990	XX	10	86	89	66	28
r83577156	XX	64	53	72	62	5
r07558862	XX	77	78	63	39	16
r75150747	YY	90	82	14	55	87
r72291769	WW	25	2	73	55	32
r49044294	XX	31	36	83	21	70
r87771084	WW	57	64	53	35	19
r01562706	WW	61	52	12	44	88
r80569360	ZZ	65	64	66	22	29
r98711484	VV	72	28	2	85	32
r02382061	ZZ	45	42	73	10	7
r56046069	YY	24	86	43	48	66
r49361846	YY	88	10	7	34	5
r42210568	YY	95	74	27	71	60
r06365629	ZZ	66	38	55	6	0
r25799201	ZZ	7	46	9	54	20
r52479754	VV	75	29	33	93	67
r90525237	VV	26	3	68	33	2
r94977546	YY	72	22	2	99	51
r21811558	WW	38	68	15	64	72
r06610787	YY	72	25	25	44	47
r30651682	YY	32	14	81	22	34
r88404225	VV	39	92	44	11	17
r76827690	WW	14	68	53	46	34
r08697313	YY	25	33	48	65	26
r65344381	WW	79	28	71	45	96
r40440359	YY	76	27	93	53	12
r80676130	WW	14	21	33	45	49
r35577110	ZZ	4	79	11	32	58
r60041639	WW	90	86	1	56	8
r49477946	YY	83	87	16	39	18
r26487440	ZZ	23	70	11	65	56
r16276665	VV	28	12	71	11	0
r20047446	ZZ	91	51	6	66	21
r19346524	XX	83	8	9	11	21
r43273232	ZZ	97	88	88	40	91
r62591839	WW	35	77	15	19	86
r29974167	VV	26	89	22	75	77
r58732226	YY	73	7	17	8	85
r93142016	XX	4	9	45	30	98
r58828751	WW	59	59	59	84	66
r51944186	XX	93	61	74	49	70
r91169187	ZZ	8	5	30	68	64
r21672749	XX	50	64	17	96	78
r50651732	XX	29	74	20	37	79
r76227891	VV	37	85	70	88	2
r40290064	YY	7	72	76	36	46
r47113530	WW	5	5	14	42	42
r24684007	ZZ	60	6	11	68	30
r66804147	WW	38	59	80	43	16
r59203180	VV	71	38	89	84	97
r47104110	ZZ	74	57	89	12	16
r55534039	VV	61	3	31	32	42
r81228634	WW	47	76	36	22	33
r41526372	XX	13	0	34	74	55
r89870219	XX	78	84	85	78	60
r05867505	WW	58	67	20	23	19
r75384375	YY	76	38	76	6	23
r45561550	XX	31	55	17	41	23
r54529926	ZZ	32	9	63	60	48
r73238009	XX	75	67	19	6	22
r87654273	ZZ	93	2	11	25	11
r81374823	WW	10	4	84	85	71
r46343199	ZZ	45	88	53	38	90
r64145430	ZZ	74	75	45	84	80
r21567023	XX	54	71	32	99	11
r82468523	VV	1	75	25	28	2
r42066745	VV	68	66	80	22	89
r31435893	ZZ	5	81	88	59	8
r93435603	WW	74	46	71	94	13
r84835372	WW	83	78	77	41	12
r00093641	XX	5	84	16	79	31
r56150988	VV	82	95	72	66	74
r76898004	YY	16	44	27	73	81
r24192242	VV	81	13	72	16	8
r44732521	ZZ	15	54	77	83	98
r71715019	WW	4	17	22	38	30
r41307030	VV	5	37	33	72	91
r81675502	WW	96	73	32	0	91
r03264664	ZZ	86	69	44	44	6
r89983558	ZZ	70	28	92	18	1
r12018384	XX	31	94	28	17	16
r34346221	YY	49	60	91	72	88
r29834874	XX	73	37	38	4	83
r41196534	WW	89	36	25	91	96
r36977731	WW	98	50	15	71	39
r82346632	WW	61	67	6	3	3
r41799866	XX	6	89	80	56	91
r92377813	YY	95	55	87	8	74
r19650561	ZZ	73	33	87	31	74
r78772249	ZZ	51	88	92	98	95
r69488250	VV	27	42	1	1	27
r43023996	VV	51	65	85	54	5
r20199897	VV	90	56	49	18	50
r17153396	VV	82	70	82	33	88
r83226317	WW	1	32	35	44	89
r29759022	VV	33	72	10	15	94
r02708934	YY	34	36	41	88	69
r20561410	VV	34	75	74	19	47
r44266974	XX	18	12	30	4	0
r29261723	VV	21	5	55	7	81
r60724991	YY	0	78	7	18	42
r42274435	WW	84	66	80	57	23
r54835561	XX	86	7	14	86	37
r69201497	VV	40	93	85	24	11
r26391128	ZZ	8	98	39	46	57
r44823037	WW	66	24	36	6	17
r10957240	ZZ	16	6	90	76	57
r56591526	XX	55	27	85	73	51
r01333482	ZZ	79	92	34	95	50
r39686107	WW	57	14	25	64	41
r84385831	YY	63	61	43	94	5
r97247055	ZZ	2	77	84	11	91
r54258556	XX	86	68	17	1	29
r56264723	XX	57	67	58	59	44
r25381650	VV	33	51	46	19	19
r21977253	ZZ	19	8	46	76	75
r82809401	ZZ	30	76	31	63	27
r58679577	XX	97	82	20	68	90
r78350479	VV	28	60	32	10	88
r55605205	ZZ	20	47	52	17	81
r84352904	YY	93	19	85	73	79
r37384010	ZZ	22	41	65	94	40
r43327971	WW	8	9	75	1	80
r60999494	YY	94	90	66	69	83
r35279718	VV	86	18	90	94	79
r70830721	YY	22	4	65	68	94
r70635026	VV	68	14	5	6	84
r14204146	VV	0	8	47	74	12
r39821778	VV	37	70	5	57	84
r48774978	WW	12	43	56	13	52
r76107150	ZZ	88	52	19	78	22
r58697361	YY	64	86	72	77	29
r03672701	WW	31	75	2	71	27
r90750367	VV	26	5	51	90	91
r90596298	WW	1	99	89	32	74
r63455126	WW	44	31	55	22	36
r57349967	XX	81	85	65	82	84
r70835501	ZZ	76	75	39	73	6
r52321692	XX	27	95	30	8	80
r36408553	XX	20	65	16	48	92
r18492715	VV	45	30	38	73	25
r17963483	XX	31	23	49	3	41
r13532926	XX	38	23	42	83	6
r81421384	ZZ	49	57	70	32	80
r53877501	WW	44	54	67	34	77
r85567908	WW	25	39	74	74	96
r98744611	YY	21	93	4	18	47
r27522019	WW	32	21	39	57	60
r38229073	XX	86	70	56	59	64
r71508241	ZZ	55	5	32	87	27
r49098249	VV	82	11	84	20	33
r07291919	VV	12	96	2	67	1
r40100110	YY	53	55	9	88	18
r02529942	WW	28	45	12	40	41
r75335457	YY	65	97	19	71	52
r11313064	WW	99	70	87	80	15
r09706353	VV	87	61	31	53	58
r60173608	XX	19	26	33	70	48
r06335251	XX	15	0	64	55	13
r03066359	YY	89	85	28	8	64
r14510045	VV	4	11	38	20	12
r77271237	WW	85	98	6	27	35
r71986626	XX	96	8	54	1	20
r34901292	YY	6	62	49	44	12
r37429437	ZZ	30	85	63	79	93
r23477391	VV	67	48	73	74	10
r04351972	VV	75	40	39	6	77
r71496886	XX	4	87	97	71	35
r77771244	YY	62	24	69	89	64
r52545251	WW	82	83	87	86	70
r87954857	WW	93	39	22	55	15
r60124989	VV	11	34	92	45	17
r20807774	XX	36	72	33	29	64
r69821267	WW	73	5	76	36	91
r18338156	VV	49	5	2	37	29
r83365308	ZZ	47	67	26	20	24
r65705054	WW	2	11	22	51	16
r05181668	WW	0	6	8	99	25
r09386004	XX	1	26	68	3	89
r67084185	WW	40	24	65	40	30
r96217526	VV	78	62	70	79	40
r49206281	WW	35	98	38	75	22
r72290600	WW	52	14	96	30	29
r19659077	ZZ	94	77	78	29	75
r77541732	VV	5	6	32	9	72
r11621472	YY	94	34	59	88	11
r98965437	VV	43	86	51	48	44
r87598141	YY	15	53	63	61	88
r91380277	XX	8	0	14	51	38
r13212710	XX	80	17	64	47	70
r80292704	VV	39	77	33	99	29
r07742254	WW	41	78	77	22	95
r16026330	VV	90	23	46	82	52
r11041783	XX	71	53	10	13	32
r77803822	ZZ	23	86	12	14	61
r84997138	ZZ	20	51	4	92	57
r59128124	VV	81	47	36	5	85
r16990080	XX	21	14	8	42	17
r64815956	YY	12	39	50	94	38
r93820012	WW	52	41	42	26	7
r05569477	YY	25	84	3	38	75
r24337357	XX	35	98	90	88	91
r49564325	XX	97	41	42	74	25
r20244594	YY	31	36	11	66	34
r46807561	YY	28	50	28	77	91
r28049315	VV	20	40	91	51	77
r83841878	VV	24	55	71	52	6
r09328589	YY	70	59	26	91	52
r41344396	YY	32	38	56	8	93
r21021569	WW	50	27	10	21	86
r48409956	VV	65	16	54	97	54
r79091042	YY	25	92	23	28	19
r16176878	VV	7	54	84	72	70
r16088109	YY	13	64	83	91	8
r98306492	YY	92	16	2	0	71
r43882960	ZZ	72	28	81	37	44
r83491717	WW	81	60	1	74	77
r60425309	XX	52	29	69	76	57
r32645238	VV	9	65	7	91	77
r74636154	YY	34	98	23	38	27
r64718455	XX	58	71	33	68	88
r95362110	YY	32	68	34	18	66
r83340068	ZZ	16	83	14	75	54
r32240722	XX	18	5	62	3	73
r12707067	XX	12	62	36	29	46
r62397557	YY	94	87	91	65	92
r87219937	ZZ	71	80	66	36	94
r50635042	XX	7	29	51	54	68
r90579081	WW	11	4	90	35	84
r18181916	WW	81	85	60	89	66
r34346015	YY	50	81	18	62	85
r99700801	ZZ	99	21	39	81	58
r24078314	VV	63	84	31	66	65
r03894594	WW	55	61	47	7	82
r82526516	WW	10	14	30	74	98
r25128215	XX	49	2	19	5	63
r47349165	YY	38	49	31	49	63
r53678099	VV	12	92	46	13	94
r09446885	VV	81	56	52	19	5
r88053644	WW	68	53	65	80	97
r61660118	ZZ	51	41	5	84	98
r33444697	YY	75	34	23	43	39
r67920803	XX	41	41	91	92	35
r63618352	VV	99	27	22	26	13
r02461502	YY	13	10	55	54	4
r69542460	ZZ	57	13	25	8	40
r53478039	VV	16	23	73	29	85
r49928692	VV	80	67	65	89	80
r03978546	YY	16	49	88	32	24
r19679529	XX	3	41	32	84	8
r50955024	XX	65	58	32	81	7
r51693262	VV	9	8	71	64	1
r09462337	WW	23	18	63	41	76
r24007690	YY	90	47	4	51	8
r69361843	WW	83	48	92	59	66
r02448448	YY	83	33	58	25	33
r71350631	WW	66	8	46	2	8
r14718359	XX	27	50	97	10	35
r88251522	ZZ	44	75	85	62	35
r43559460	YY	77	74	89	4	76
r73554025	VV	85	86	57	81	13
r49984466	VV	80	24	56	57	98
r36520094	ZZ	52	63	19	38	49
r13654560	XX	61	62	26	41	38
r09935467	YY	47	35	31	99	99
r90415281	YY	67	56	92	80	70
r39338463	WW	99	34	23	98	22
